parameter,value,score,string_length
decay,0.99,7.472753733596406e+122,100
decay,0.9801,7.107813282935738e+54,100
decay,0.981444148254253,4.285337846387234e+87,100
decay,0.9827901399270648,9.662018804548334e+47,100
decay,0.9841379775465732,6.508249706824355e+257,100
decay,0.9854876636443828,1.4169751753497812e+83,100
decay,0.9868392007555712,6.428147458364629e+119,100
decay,0.9881925914186912,5.842599682963094e+56,100
decay,0.9895478381757788,5.0818540228036176e+51,100
decay,0.9909049435723544,1.821909772443156e+85,100
decay,0.9922639101574308,3.4856371716048523e+65,100
decay,0.9936247404835165,8.589468330917924e+63,100
min_temp,0.001,7.472743187381996e+122,100
min_temp,1e-06,1.4784275999718327e+192,100
min_temp,2.565020905680045e-06,1.0554503571925281e+86,100
min_temp,6.579332246575679e-06,1.2299286124041557e+223,100
min_temp,1.6876124757881474e-05,1.0554253096057125e+86,100
min_temp,4.328761281083058e-05,1.9800256350453465e+92,100
min_temp,0.0001110336318167,3.5856579345314405e+44,100
min_temp,0.0002848035868435,2.6068969949335616e+74,100
min_temp,0.0007305271542664,4.515937869575702e+68,100
min_temp,0.0018738174228603,3.3559029000265373e+99,100
min_temp,0.0048063808630643,3.3277285707368097e+72,100
min_temp,0.0123284673944206,6.318961708533079e+45,100
max_attempts,10.0,2.4358386536903107e+65,100
max_attempts,5.0,4.967809993789681e+118,100
max_attempts,7.0,3.3558048898042447e+99,100
max_attempts,8.0,2.9829970177337076e+217,100
max_attempts,10.0,2.5107980898258652e+153,100
max_attempts,11.0,7.473335913135139e+122,100
max_attempts,13.0,1.900853198623789e+44,100
max_attempts,14.0,6.179334762108525e+114,100
max_attempts,16.0,7.10776565215745e+54,100
max_attempts,17.0,3.485486127000947e+65,100
max_attempts,18.0,5.272407054255001e+68,100
max_attempts,20.0,3.3561067286481644e+99,100
decay,0.9827901399270648,1.4169412407605938e+83,100
decay,0.9658764591378596,1.4785137647446727e+192,100
decay,0.96816561721776,2.5107655281556003e+153,100
decay,0.9704602006754766,7.971990524336069e+280,100
decay,0.9727602223693288,3.7106455714754703e+211,100
decay,0.9750656951881091,1.845577583230628e+52,100
decay,0.9773766320511588,9.661908150957338e+47,100
decay,0.9796930459084372,8.813469257624579e+82,100
decay,0.9820149497405952,1.2299695562298433e+223,100
decay,0.9843423565590492,3.3559873579415424e+99,100
decay,0.9866752794060524,1.055443012751954e+86,100
decay,0.9890137313547688,1.830947398451288e+84,100
min_temp,0.0001110336318167,1.0053675050128997e+64,100
min_temp,1.2328467394420657e-08,7.203869488047194e+26,100
min_temp,4.267419026991928e-08,1.7229487237529242e+58,100
min_temp,1.477139418008616e-07,6.428032968231805e+119,100
min_temp,5.11302228919588e-07,7.472707878941182e+122,100
min_temp,1.7698395026962451e-06,7.472774647879713e+122,100
min_temp,6.126184648017071e-06,2.8100769278135856e+90,100
min_temp,2.1205390819012184e-05,2.4358215010080383e+65,100
min_temp,7.340108495302957e-05,1.229941273206169e+223,100
min_temp,0.0002540730948213,1.750465005470049e+82,100
min_temp,0.0008794575387187,1.4169266008532147e+83,100
min_temp,0.0030441852292673,7.472689939687954e+122,100
max_attempts,13.0,2.1739249887511026e+133,100
max_attempts,7.0,1.0053427835793853e+64,100
max_attempts,8.0,3.7105929915666873e+211,100
max_attempts,11.0,2.982991776708202e+217,100
max_attempts,12.0,1.82198532291724e+85,100
max_attempts,15.0,6.428698209386386e+119,100
max_attempts,16.0,5.737233584830232e+126,100
max_attempts,18.0,2.510844316623559e+153,100
max_attempts,20.0,1.2530662347674586e+52,100
max_attempts,22.0,2.983132687047956e+217,100
max_attempts,25.0,1.2636257193482475e+34,100
max_attempts,26.0,1.4169612279159395e+83,100
decay,0.9773766320511588,4.96779720327255e+118,100
decay,0.9552650808796664,3.485672228111831e+65,100
decay,0.9582505807368732,6.179376216689013e+114,100
decay,0.9612454112077242,1.722917507858881e+58,100
decay,0.9642496014532828,3.71092714467138e+211,100
decay,0.96726318072575,1.8454504601724224e+52,100
decay,0.9702861783687486,inf,100
decay,0.97331862381761,2.9830155924401135e+217,100
decay,0.9763605465996592,1.2299309053053077e+223,100
decay,0.9794119763345048,1.0053170411734348e+64,100
decay,0.9824729427343244,6.508304241627808e+257,100
decay,0.9855434756041552,1.8220129474438112e+85,100
min_temp,1.2328467394420657e-08,3.498540948904131e+60,100
min_temp,1.519911082952932e-16,5.272399286898066e+68,100
min_temp,1.8210865151932725e-15,4.967961881180618e+118,100
min_temp,2.1819408602348326e-14,6.4280361097760736e+119,100
min_temp,2.614299692981388e-13,1.2299859935749313e+223,100
min_temp,3.132331865304093e-12,5.810732605222852e+31,100
min_temp,3.753013834160005e-11,8.813299136863035e+82,100
min_temp,4.4966859978704615e-10,5.272351501313817e+68,100
min_temp,5.3877192722818624e-09,2.173909136218993e+133,100
min_temp,6.455313751207942e-08,7.52083240967076e+65,100
min_temp,7.734455624092936e-07,2.435689157089841e+65,100
min_temp,9.267063710089783e-06,1.1377239902034874e+34,100
max_attempts,25.0,5.736971833945638e+126,100
max_attempts,13.0,8.813659401244683e+82,100
max_attempts,17.0,2.173934031794101e+133,100
max_attempts,20.0,2.510862955785545e+153,100
max_attempts,24.0,8.589412247773945e+63,100
max_attempts,27.0,2.8100781068570407e+90,100
max_attempts,31.0,7.971767171844745e+280,100
max_attempts,35.0,1.7504090965918378e+82,100
max_attempts,39.0,1.4169769757813994e+83,100
max_attempts,43.0,1.2299818827726101e+223,100
max_attempts,46.0,7.972021975741934e+280,100
max_attempts,50.0,8.814025254378036e+82,100
decay,0.96726318072575,9.662394483162488e+47,100
decay,0.9355980607876948,1.0554566499112849e+86,100
decay,0.9398542208922656,6.002563247976312e+103,100
decay,0.9441297428356378,7.472737860831137e+122,100
decay,0.9484247146973932,2.810204532505737e+90,100
decay,0.9527392249577988,1.4169714832825303e+83,100
decay,0.9570733624996308,1.0554546622071981e+86,100
decay,0.961427216610005,1.416948513423236e+83,100
decay,0.9658008769822154,1.8220421834012028e+85,100
decay,0.9701944337175838,2.173706312942854e+133,100
decay,0.9746079773273142,8.813251275297666e+82,100
decay,0.979041598734358,5.4131626532740975e+59,100
min_temp,3.132331865304093e-12,1.1902880320200283e+59,100
min_temp,9.81150291439942e-24,1.822060651873894e+85,100
min_temp,3.63480269573028e-22,3.7108722206044818e+211,100
min_temp,1.3465613527463163e-20,5.986325000648727e+141,100
min_temp,4.988516925113831e-19,1.8220251222155056e+85,100
min_temp,1.84806292423242e-17,7.107777902976626e+54,100
min_temp,6.846396681002624e-16,1.4169472467030543e+83,100
min_temp,2.53633936913226e-14,7.472870703940694e+122,100
min_temp,9.396208976994537e-13,6.508241592544629e+257,100
min_temp,3.4809514930787153e-11,2.5108732929187346e+153,100
min_temp,1.289565113636146e-09,1.750416353312286e+82,100
min_temp,4.777366721753957e-08,5.272147953829094e+68,100
max_attempts,24.0,2.511098501162064e+153,100
max_attempts,12.0,2.510799382715714e+153,100
max_attempts,15.0,4.515916930152494e+68,100
max_attempts,19.0,9.277843319832191e+196,100
max_attempts,23.0,1.478525621344494e+192,100
max_attempts,26.0,7.472956445376432e+122,100
max_attempts,30.0,1.8455674424225586e+52,100
max_attempts,34.0,2.8103128705504336e+90,100
max_attempts,37.0,1.0053399267738836e+64,100
max_attempts,41.0,4.968174677487857e+118,100
max_attempts,44.0,1.8309979510602718e+84,100
max_attempts,48.0,5.9868833366486195e+141,100
decay,0.96726318072575,1.055485391105016e+86,100
decay,0.9355980607876948,6.50837177789579e+257,100
decay,0.9398542208922656,1.191540806888945e+29,100
decay,0.9441297428356378,2.43585304243326e+65,100
decay,0.9484247146973932,1.4580468870264996e+142,100
decay,0.9527392249577988,7.472833079608204e+122,100
decay,0.9570733624996308,7.472961148417994e+122,100
decay,0.961427216610005,6.508361522560482e+257,100
decay,0.9658008769822154,1.8750995983340247e+38,100
decay,0.9701944337175838,2.5109731806307522e+153,100
decay,0.9746079773273142,4.967856537060354e+118,100
decay,0.979041598734358,2.9831382338592094e+217,100
min_temp,1.84806292423242e-17,inf,100
min_temp,3.415336571922482e-34,1.750463540772613e+82,100
min_temp,6.534988991444244e-32,1.4785052776185223e+192,100
min_temp,1.2504208653807244e-29,8.062602764817572e+40,100
min_temp,2.392586035916075e-27,2.607097972907864e+74,100
min_temp,4.578032962939759e-25,2.532118810170865e+37,100
min_temp,8.759720860670477e-23,1.2530458332920303e+52,100
min_temp,1.6761065326098482e-20,9.679638509436822e+73,100
min_temp,3.2071034606488465e-18,3.4855536890910754e+65,100
min_temp,6.136550635173733e-16,1.5246901114145997e+31,100
min_temp,1.1741826903966642e-13,1.1840408531357635e+44,100
min_temp,2.2467100369458725e-11,6.508271893104176e+257,100
max_attempts,30.0,2.9832019012965965e+217,100
max_attempts,15.0,7.473172197408061e+122,100
max_attempts,19.0,3.3290775530100033e+143,100
max_attempts,24.0,8.813356074897342e+82,100
max_attempts,29.0,4.29126537990767e+117,100
max_attempts,33.0,5.9859732115808604e+141,100
max_attempts,38.0,2.1738469231925213e+133,100
max_attempts,42.0,5.272419937007199e+68,100
max_attempts,46.0,7.972115284746648e+280,100
max_attempts,51.0,2.510943809285901e+153,100
max_attempts,55.0,1.461006669213604e+45,100
max_attempts,60.0,1.750544332815633e+82,100
decay,0.9398542208922657,1.3810375951681434e+72,100
decay,0.8833259565290077,9.679917466391746e+73,100
decay,0.8908294399361015,2.3159125318059706e+95,100
decay,0.8983966622867012,6.002960494678106e+103,100
decay,0.9060281650163909,1.83106248834886e+84,100
decay,0.913724494160022,1.8220649519181245e+85,100
decay,0.9214862003907841,1.8221516347289387e+85,100
decay,0.9293138390596033,2.0388300755312666e+64,100
decay,0.9372079702348796,1.478618704816933e+192,100
decay,0.9451691587425589,1.5344428803493305e+46,100
decay,0.9531979742065464,1.055542833235362e+86,100
decay,0.9612949910894635,2.174067091491534e+133,100
min_temp,6.136550635173733e-16,9.680636653372813e+73,100
min_temp,3.7657253698051147e-31,1.4785869344867336e+192,100
min_temp,4.469126012445444e-29,9.680273425527048e+73,100
min_temp,5.303915010708859e-27,2.8103798951698726e+90,100
min_temp,6.294634423483069e-25,3.3561537217140706e+99,100
min_temp,7.47041052605454e-23,6.179795285078912e+114,100
min_temp,8.865810096864386e-21,2.1741007088095454e+133,100
min_temp,1.052185665024972e-18,1.4785808757783233e+192,100
min_temp,1.2487236491514718e-16,2.5110575297221807e+153,100
min_temp,1.4819730051284818e-14,1.3810548620669197e+72,100
min_temp,1.758791057910953e-12,1.750578442322512e+82,100
min_temp,2.0873160136404304e-10,9.279018487964334e+196,100
max_attempts,55.0,3.6551315293488405e+38,100
max_attempts,28.0,6.428603717864636e+119,100
max_attempts,36.0,3.4856888631265207e+65,100
max_attempts,44.0,1.3535278698310565e+161,100
max_attempts,52.0,1.1903452701247434e+59,100
max_attempts,61.0,6.180018085035307e+114,100
max_attempts,69.0,9.68025766511674e+73,100
max_attempts,77.0,3.329456290738177e+143,100
max_attempts,86.0,2.3158923268956802e+95,100
max_attempts,94.0,9.278802953109392e+196,100
max_attempts,102.0,4.2915426473307274e+117,100
max_attempts,110.0,7.522167156708502e+65,100
